Month,City,Company,Total Monthly Hours
May,Nagpur,Tata Power Company Ltd.,1984.0
February,Nagpur,Reliance Energy,803.84
February,Nagpur,Adani Power Ltd.,688.64
September,Nagpur,Orient Green,910.08
July,Nagpur,Tata Power Company Ltd.,2793.6
January,Nagpur,Adani Power Ltd.,624.64
September,Nagpur,Reliance Energy,533.76
October,Nagpur,Reliance Energy,931.2
February,Nagpur,Tata Power Company Ltd.,637.44
October,Nagpur,Reliance Energy,995.2
December,Nagpur,Adani Power Ltd.,642.56
August,Nagpur,Tata Power Company Ltd.,1771.2
March,Nagpur,Orient Green,470.4
November,Nagpur,Indowind Energy,631.04
November,Nagpur,Adani Power Ltd.,788.48
February,Nagpur,Reliance Energy,579.84
November,Nagpur,Tata Power Company Ltd.,316.16
October,Nagpur,Adani Power Ltd.,892.8
December,Nagpur,Adani Power Ltd.,544.0
October,Nagpur,Adani Power Ltd.,1139.2
February,Nagpur,Orient Green,775.68
April,Nagpur,Tata Power Company Ltd.,1269.6
October,Nagpur,Tata Power Company Ltd.,784.0
July,Nagpur,Adani Power Ltd.,2947.2
May,Nagpur,Adani Power Ltd.,1628.8
July,Nagpur,Tata Power Company Ltd.,3091.2
February,Nagpur,Tata Power Company Ltd.,702.72
November,Nagpur,Tata Power Company Ltd.,794.88
September,Nagpur,Orient Green,604.8
May,Nagpur,Reliance Energy,1542.4
August,Nagpur,Adani Power Ltd.,1118.4
October,Nagpur,Adani Power Ltd.,1115.2
February,Nagpur,Adani Power Ltd.,558.08
October,Nagpur,Orient Green,819.2
August,Nagpur,Reliance Energy,787.2
February,Nagpur,Orient Green,538.88
October,Nagpur,Adani Power Ltd.,683.2
March,Nagpur,Orient Green,1102.4
October,Nagpur,Tata Power Company Ltd.,649.6
August,Nagpur,Adani Power Ltd.,1500.0
October,Nagpur,Orient Green,968.0
October,Nagpur,Indowind Energy,854.4
January,Nagpur,Indowind Energy,570.88
November,Nagpur,Reliance Energy,637.44
May,Nagpur,Adani Power Ltd.,1984.0
August,Nagpur,Tata Power Company Ltd.,1521.6
February,Nagpur,Orient Green,721.92
October,Nagpur,Tata Power Company Ltd.,780.8
October,Nagpur,Indowind Energy,760.0
March,Nagpur,Indowind Energy,603.2
April,Nagpur,Tata Power Company Ltd.,1408.8
January,Nagpur,Tata Power Company Ltd.,921.6
November,Nagpur,Tata Power Company Ltd.,657.92
November,Nagpur,Reliance Energy,674.56
May,Nagpur,Tata Power Company Ltd.,1593.6
November,Nagpur,Indowind Energy,682.24
May,Nagpur,Tata Power Company Ltd.,1235.2
March,Nagpur,Tata Power Company Ltd.,987.2
October,Nagpur,Reliance Energy,1080.0
March,Nagpur,Orient Green,996.8
September,Nagpur,Orient Green,1198.08
September,Nagpur,Orient Green,583.68
April,Nagpur,Tata Power Company Ltd.,1620.0
October,Nagpur,Tata Power Company Ltd.,588.8
June,Nagpur,Adani Power Ltd.,1540.8
February,Nagpur,Reliance Energy,938.24
August,Nagpur,Reliance Energy,1322.4
September,Nagpur,Reliance Energy,1023.36
March,Nagpur,Orient Green,888.0
May,Nagpur,Tata Power Company Ltd.,1673.6
December,Nagpur,Orient Green,558.08
February,Nagpur,Adani Power Ltd.,414.72
July,Nagpur,Tata Power Company Ltd.,2496.0
March,Nagpur,Orient Green,788.8
September,Nagpur,Orient Green,1249.92
August,Nagpur,Tata Power Company Ltd.,1236.0
November,Nagpur,Orient Green,651.52
February,Nagpur,Orient Green,784.64
September,Nagpur,Indowind Energy,971.52
May,Nagpur,Tata Power Company Ltd.,1545.6
July,Nagpur,Adani Power Ltd.,3048.0
October,Nagpur,Indowind Energy,704.0
November,Nagpur,Tata Power Company Ltd.,625.92
May,Nagpur,Reliance Energy,1990.4
September,Nagpur,Tata Power Company Ltd.,904.32
January,Nagpur,Orient Green,707.84
July,Nagpur,Orient Green,2884.8
April,Nagpur,Indowind Energy,1483.2
November,Nagpur,Adani Power Ltd.,485.12
August,Nagpur,Indowind Energy,1140.0
March,Nagpur,Indowind Energy,806.4
February,Nagpur,Tata Power Company Ltd.,645.12
February,Nagpur,Indowind Energy,597.76
December,Nagpur,Reliance Energy,563.2
December,Nagpur,Tata Power Company Ltd.,683.52
February,Nagpur,Indowind Energy,729.6
December,Nagpur,Orient Green,513.28
May,Nagpur,Orient Green,1596.8
April,Nagpur,Indowind Energy,1269.6
October,Nagpur,Orient Green,707.2
August,Nagpur,Orient Green,1375.2
April,Nagpur,Reliance Energy,1432.8
October,Nagpur,Orient Green,867.2
March,Nagpur,Adani Power Ltd.,657.6
November,Nagpur,Indowind Energy,576.0
May,Nagpur,Indowind Energy,1900.8
April,Nagpur,Indowind Energy,1718.4
March,Nagpur,Reliance Energy,395.2
September,Nagpur,Orient Green,537.6
April,Nagpur,Adani Power Ltd.,1051.2
September,Nagpur,Adani Power Ltd.,1280.64
August,Nagpur,Indowind Energy,1920.0
December,Nagpur,Orient Green,888.32
January,Nagpur,Reliance Energy,417.28
April,Nagpur,Indowind Energy,1514.4
March,Nagpur,Tata Power Company Ltd.,1041.6
January,Nagpur,Adani Power Ltd.,976.64
December,Nagpur,Reliance Energy,700.16
July,Nagpur,Indowind Energy,3115.2
April,Nagpur,Tata Power Company Ltd.,1519.2
March,Nagpur,Tata Power Company Ltd.,1020.8
February,Nagpur,Reliance Energy,551.68
June,Nagpur,Adani Power Ltd.,2644.8
April,Nagpur,Adani Power Ltd.,993.6
January,Nagpur,Orient Green,528.64
May,Nagpur,Reliance Energy,1769.6
August,Nagpur,Adani Power Ltd.,1166.4
April,Nagpur,Orient Green,885.6
August,Nagpur,Reliance Energy,1615.2
October,Nagpur,Adani Power Ltd.,1147.2
April,Nagpur,Tata Power Company Ltd.,1864.8
August,Nagpur,Reliance Energy,1552.8
May,Nagpur,Orient Green,2185.6
February,Nagpur,Indowind Energy,669.44
February,Nagpur,Reliance Energy,634.88
January,Nagpur,Adani Power Ltd.,454.4
September,Nagpur,Adani Power Ltd.,1363.2
September,Nagpur,Orient Green,737.28
August,Nagpur,Indowind Energy,1262.4
December,Nagpur,Adani Power Ltd.,518.4
May,Nagpur,Reliance Energy,931.2
August,Nagpur,Adani Power Ltd.,1341.6
May,Nagpur,Reliance Energy,2102.4
February,Nagpur,Tata Power Company Ltd.,450.56
September,Nagpur,Orient Green,983.04
May,Nagpur,Reliance Energy,1200.0
November,Nagpur,Adani Power Ltd.,806.4
December,Nagpur,Orient Green,840.96
September,Nagpur,Orient Green,1031.04
November,Nagpur,Orient Green,784.64
February,Nagpur,Orient Green,666.88
June,Nagpur,Reliance Energy,1939.2
January,Nagpur,Tata Power Company Ltd.,532.48
June,Nagpur,Tata Power Company Ltd.,1982.4
December,Nagpur,Indowind Energy,1091.84
February,Nagpur,Adani Power Ltd.,620.8
December,Nagpur,Indowind Energy,976.64
October,Nagpur,Tata Power Company Ltd.,755.2
December,Nagpur,Adani Power Ltd.,700.16
March,Nagpur,Tata Power Company Ltd.,841.6
March,Nagpur,Reliance Energy,667.2
April,Nagpur,Reliance Energy,1003.2
August,Nagpur,Reliance Energy,1132.8
August,Nagpur,Tata Power Company Ltd.,1135.2
July,Nagpur,Orient Green,1852.8
October,Nagpur,Tata Power Company Ltd.,734.4
October,Nagpur,Indowind Energy,1137.6
June,Nagpur,Reliance Energy,2462.4
February,Nagpur,Tata Power Company Ltd.,760.32
October,Nagpur,Indowind Energy,964.8
October,Nagpur,Tata Power Company Ltd.,764.8
February,Nagpur,Orient Green,464.64
October,Nagpur,Reliance Energy,814.4
September,Nagpur,Reliance Energy,862.08
October,Nagpur,Adani Power Ltd.,641.6
April,Nagpur,Reliance Energy,1540.8
November,Nagpur,Adani Power Ltd.,852.48
November,Nagpur,Indowind Energy,492.8
February,Nagpur,Adani Power Ltd.,564.48
February,Nagpur,Orient Green,700.16
April,Nagpur,Orient Green,1680.0
March,Nagpur,Reliance Energy,688.0
October,Nagpur,Adani Power Ltd.,1033.6
October,Nagpur,Orient Green,736.0
September,Nagpur,Tata Power Company Ltd.,1269.12
May,Nagpur,Reliance Energy,1248.0
November,Nagpur,Adani Power Ltd.,678.4
October,Nagpur,Indowind Energy,995.2
December,Nagpur,Indowind Energy,546.56
March,Nagpur,Orient Green,643.2
November,Nagpur,Indowind Energy,561.92
June,Nagpur,Reliance Energy,2376.0
April,Nagpur,Reliance Energy,1735.2
March,Nagpur,Tata Power Company Ltd.,948.8
July,Nagpur,Tata Power Company Ltd.,2227.2
June,Navi Mumbai,Adani Power Ltd.,1175.625
March,Navi Mumbai,Indowind Energy,191.875
August,Navi Mumbai,Orient Green,420.9375
April,Navi Mumbai,Reliance Energy,495.0
June,Navi Mumbai,Adani Power Ltd.,924.375
June,Navi Mumbai,Orient Green,832.5
February,Navi Mumbai,Orient Green,195.0
November,Navi Mumbai,Orient Green,228.0
June,Navi Mumbai,Orient Green,864.375
March,Navi Mumbai,Reliance Energy,307.5
March,Navi Mumbai,Indowind Energy,175.625
February,Navi Mumbai,Tata Power Company Ltd.,251.0
March,Navi Mumbai,Adani Power Ltd.,221.875
June,Navi Mumbai,Tata Power Company Ltd.,661.875
February,Navi Mumbai,Indowind Energy,225.0
January,Navi Mumbai,Adani Power Ltd.,281.0
September,Navi Mumbai,Indowind Energy,303.75
December,Navi Mumbai,Indowind Energy,180.0
September,Navi Mumbai,Adani Power Ltd.,447.0
February,Navi Mumbai,Indowind Energy,287.5
November,Navi Mumbai,Orient Green,247.0
April,Navi Mumbai,Indowind Energy,401.25
October,Navi Mumbai,Orient Green,316.875
November,Navi Mumbai,Indowind Energy,136.0
August,Navi Mumbai,Reliance Energy,762.1875
November,Navi Mumbai,Tata Power Company Ltd.,267.5
May,Navi Mumbai,Indowind Energy,451.25
July,Navi Mumbai,Orient Green,945.0
October,Navi Mumbai,Adani Power Ltd.,258.125
April,Navi Mumbai,Reliance Energy,375.0
September,Navi Mumbai,Indowind Energy,503.25
August,Navi Mumbai,Reliance Energy,568.125
January,Navi Mumbai,Indowind Energy,168.5
July,Navi Mumbai,Indowind Energy,1275.0
April,Navi Mumbai,Tata Power Company Ltd.,668.4375
November,Navi Mumbai,Reliance Energy,306.0
March,Navi Mumbai,Reliance Energy,375.0
August,Navi Mumbai,Reliance Energy,555.9375
March,Navi Mumbai,Orient Green,272.5
February,Navi Mumbai,Reliance Energy,266.5
April,Navi Mumbai,Indowind Energy,600.9375
November,Navi Mumbai,Reliance Energy,332.0
March,Navi Mumbai,Adani Power Ltd.,257.5
June,Navi Mumbai,Tata Power Company Ltd.,1140.0
July,Navi Mumbai,Adani Power Ltd.,701.25
May,Navi Mumbai,Adani Power Ltd.,358.75
January,Navi Mumbai,Adani Power Ltd.,231.0
December,Navi Mumbai,Reliance Energy,268.5
May,Navi Mumbai,Reliance Energy,487.5
November,Navi Mumbai,Tata Power Company Ltd.,336.5
September,Navi Mumbai,Orient Green,406.5
August,Navi Mumbai,Orient Green,392.8125
January,Navi Mumbai,Indowind Energy,233.0
June,Navi Mumbai,Orient Green,665.625
September,Navi Mumbai,Orient Green,295.5
September,Navi Mumbai,Tata Power Company Ltd.,391.5
September,Navi Mumbai,Adani Power Ltd.,295.5
June,Navi Mumbai,Tata Power Company Ltd.,976.875
June,Navi Mumbai,Tata Power Company Ltd.,860.625
June,Navi Mumbai,Adani Power Ltd.,1363.125
October,Navi Mumbai,Orient Green,230.625
April,Navi Mumbai,Reliance Energy,554.0625
June,Navi Mumbai,Indowind Energy,765.0
February,Navi Mumbai,Adani Power Ltd.,289.0
December,Navi Mumbai,Tata Power Company Ltd.,297.5
January,Navi Mumbai,Adani Power Ltd.,227.5
March,Navi Mumbai,Tata Power Company Ltd.,406.875
November,Navi Mumbai,Indowind Energy,253.0
January,Navi Mumbai,Adani Power Ltd.,219.0
May,Navi Mumbai,Orient Green,451.25
September,Navi Mumbai,Tata Power Company Ltd.,525.0
October,Navi Mumbai,Adani Power Ltd.,253.125
March,Navi Mumbai,Indowind Energy,214.375
June,Navi Mumbai,Reliance Energy,1160.625
October,Navi Mumbai,Adani Power Ltd.,265.0
March,Navi Mumbai,Tata Power Company Ltd.,437.5
September,Navi Mumbai,Adani Power Ltd.,427.5
June,Navi Mumbai,Reliance Energy,894.375
March,Navi Mumbai,Reliance Energy,220.625
September,Navi Mumbai,Orient Green,332.25
March,Navi Mumbai,Orient Green,339.375
November,Navi Mumbai,Indowind Energy,219.0
July,Navi Mumbai,Indowind Energy,1156.875
September,Navi Mumbai,Orient Green,324.75
October,Navi Mumbai,Reliance Energy,373.125
January,Navi Mumbai,Orient Green,277.5
January,Navi Mumbai,Orient Green,244.0
September,Navi Mumbai,Adani Power Ltd.,460.5
November,Navi Mumbai,Indowind Energy,190.0
April,Navi Mumbai,Reliance Energy,420.9375
November,Navi Mumbai,Orient Green,232.5
December,Navi Mumbai,Indowind Energy,113.5
August,Navi Mumbai,Indowind Energy,477.1875
November,Navi Mumbai,Indowind Energy,179.0
November,Navi Mumbai,Reliance Energy,270.5
April,Navi Mumbai,Indowind Energy,325.3125
January,Navi Mumbai,Indowind Energy,319.0
November,Navi Mumbai,Tata Power Company Ltd.,317.0
April,Navi Mumbai,Adani Power Ltd.,500.625
March,Navi Mumbai,Orient Green,388.125
March,Navi Mumbai,Orient Green,258.75
February,Navi Mumbai,Reliance Energy,227.5
March,Navi Mumbai,Indowind Energy,323.75
September,Navi Mumbai,Orient Green,279.75
January,Navi Mumbai,Indowind Energy,311.5
January,Navi Mumbai,Indowind Energy,211.0
June,Navi Mumbai,Orient Green,960.0
February,Navi Mumbai,Orient Green,205.0
May,Navi Mumbai,Orient Green,407.5
March,Navi Mumbai,Tata Power Company Ltd.,278.125
February,Navi Mumbai,Adani Power Ltd.,221.5
October,Navi Mumbai,Tata Power Company Ltd.,297.5
May,Navi Mumbai,Reliance Energy,547.5
November,Navi Mumbai,Indowind Energy,248.5
August,Navi Mumbai,Adani Power Ltd.,551.25
June,Navi Mumbai,Tata Power Company Ltd.,787.5
July,Navi Mumbai,Orient Green,941.25
January,Navi Mumbai,Adani Power Ltd.,306.0
November,Navi Mumbai,Indowind Energy,172.0
March,Navi Mumbai,Tata Power Company Ltd.,443.75
July,Navi Mumbai,Orient Green,1080.0
April,Navi Mumbai,Tata Power Company Ltd.,389.0625
August,Navi Mumbai,Orient Green,297.1875
November,Navi Mumbai,Indowind Energy,277.5
February,Navi Mumbai,Reliance Energy,180.0
February,Navi Mumbai,Adani Power Ltd.,201.0
December,Navi Mumbai,Reliance Energy,319.0
November,Navi Mumbai,Tata Power Company Ltd.,153.5
June,Navi Mumbai,Reliance Energy,808.125
October,Navi Mumbai,Tata Power Company Ltd.,229.375
August,Navi Mumbai,Indowind Energy,333.75
March,Navi Mumbai,Indowind Energy,219.375
March,Navi Mumbai,Adani Power Ltd.,350.0
March,Navi Mumbai,Orient Green,628.75
April,Navi Mumbai,Indowind Energy,821.25
June,Navi Mumbai,Indowind Energy,2133.75
September,Navi Mumbai,Orient Green,934.5
November,Navi Mumbai,Adani Power Ltd.,634.0
November,Navi Mumbai,Reliance Energy,607.0
September,Navi Mumbai,Indowind Energy,1020.0
July,Navi Mumbai,Tata Power Company Ltd.,1683.75
January,Navi Mumbai,Orient Green,494.0
February,Navi Mumbai,Orient Green,306.0
March,Navi Mumbai,Tata Power Company Ltd.,650.0
April,Navi Mumbai,Orient Green,1016.25
September,Navi Mumbai,Adani Power Ltd.,624.0
January,Navi Mumbai,Orient Green,516.0
April,Navi Mumbai,Tata Power Company Ltd.,870.0
May,Navi Mumbai,Adani Power Ltd.,1047.5
January,Navi Mumbai,Orient Green,528.0
December,Navi Mumbai,Orient Green,332.0
November,Navi Mumbai,Tata Power Company Ltd.,554.0
December,Navi Mumbai,Reliance Energy,510.0
October,Navi Mumbai,Adani Power Ltd.,612.5
May,Navi Mumbai,Indowind Energy,1790.0
July,Navi Mumbai,Orient Green,1515.0
July,Navi Mumbai,Adani Power Ltd.,2853.75
September,Navi Mumbai,Reliance Energy,570.0
September,Navi Mumbai,Indowind Energy,793.5
April,Navi Mumbai,Indowind Energy,1096.875
February,Navi Mumbai,Indowind Energy,482.0
July,Navi Mumbai,Reliance Energy,1927.5
July,Navi Mumbai,Orient Green,2096.25
September,Navi Mumbai,Adani Power Ltd.,675.0
September,Navi Mumbai,Tata Power Company Ltd.,808.5
December,Navi Mumbai,Adani Power Ltd.,432.0
August,Navi Mumbai,Reliance Energy,1213.125
July,Navi Mumbai,Orient Green,1901.25
June,Navi Mumbai,Adani Power Ltd.,2006.25
June,Navi Mumbai,Reliance Energy,2598.75
June,Navi Mumbai,Indowind Energy,2036.25
November,Navi Mumbai,Indowind Energy,763.0
June,Navi Mumbai,Orient Green,1995.0
December,Navi Mumbai,Indowind Energy,644.0
December,Navi Mumbai,Tata Power Company Ltd.,585.0
May,Navi Mumbai,Orient Green,907.5
February,Navi Mumbai,Tata Power Company Ltd.,452.0
June,Navi Mumbai,Tata Power Company Ltd.,1500.0
July,Navi Mumbai,Indowind Energy,1080.0
February,Navi Mumbai,Reliance Energy,384.0
July,Navi Mumbai,Adani Power Ltd.,1155.0
February,Navi Mumbai,Tata Power Company Ltd.,569.0
November,Navi Mumbai,Orient Green,521.0
March,Navi Mumbai,Reliance Energy,651.25
July,Navi Mumbai,Tata Power Company Ltd.,2343.75
November,Navi Mumbai,Indowind Energy,553.0
December,Navi Mumbai,Orient Green,383.0
April,Navi Mumbai,Indowind Energy,881.25
August,Navi Mumbai,Reliance Energy,1091.25
August,Navi Mumbai,Indowind Energy,913.125
January,Navi Mumbai,Adani Power Ltd.,196.0
January,Navi Mumbai,Reliance Energy,626.0
October,Navi Mumbai,Reliance Energy,500.0
July,Navi Mumbai,Reliance Energy,1882.5
June,Navi Mumbai,Indowind Energy,2212.5
October,Navi Mumbai,Reliance Energy,670.0
February,Navi Mumbai,Indowind Energy,274.0
August,Navi Mumbai,Adani Power Ltd.,528.75
June,Navi Mumbai,Reliance Energy,2561.25
November,Navi Mumbai,Adani Power Ltd.,609.0
January,Navi Mumbai,Reliance Energy,401.0
September,Navi Mumbai,Tata Power Company Ltd.,538.5
January,Navi Mumbai,Orient Green,731.0
September,Navi Mumbai,Adani Power Ltd.,673.5
October,Navi Mumbai,Reliance Energy,478.75
November,Navi Mumbai,Orient Green,513.0
December,Navi Mumbai,Orient Green,629.0
June,Navi Mumbai,Tata Power Company Ltd.,1267.5
March,Navi Mumbai,Tata Power Company Ltd.,641.25
December,Navi Mumbai,Indowind Energy,690.0
April,Navi Mumbai,Tata Power Company Ltd.,980.625
June,Navi Mumbai,Orient Green,2077.5
August,Navi Mumbai,Orient Green,772.5
June,Navi Mumbai,Adani Power Ltd.,2231.25
October,Navi Mumbai,Orient Green,787.5
December,Navi Mumbai,Orient Green,463.0
August,Navi Mumbai,Adani Power Ltd.,1365.0
January,Navi Mumbai,Reliance Energy,483.0
October,Navi Mumbai,Indowind Energy,468.75
September,Navi Mumbai,Tata Power Company Ltd.,901.5
July,Navi Mumbai,Reliance Energy,2291.25
August,Navi Mumbai,Indowind Energy,774.375
July,Navi Mumbai,Orient Green,2283.75
November,Navi Mumbai,Orient Green,579.0
January,Navi Mumbai,Orient Green,650.0
November,Navi Mumbai,Adani Power Ltd.,459.0
June,Navi Mumbai,Adani Power Ltd.,2302.5
February,Navi Mumbai,Adani Power Ltd.,493.0
September,Navi Mumbai,Indowind Energy,540.0
December,Navi Mumbai,Tata Power Company Ltd.,552.0
March,Navi Mumbai,Tata Power Company Ltd.,548.75
October,Navi Mumbai,Adani Power Ltd.,463.75
October,Navi Mumbai,Tata Power Company Ltd.,275.0
October,Navi Mumbai,Indowind Energy,853.75
April,Navi Mumbai,Orient Green,931.875
October,Navi Mumbai,Adani Power Ltd.,530.0
March,Navi Mumbai,Orient Green,578.75
July,Navi Mumbai,Reliance Energy,2231.25
September,Navi Mumbai,Adani Power Ltd.,789.0
February,Navi Mumbai,Reliance Energy,562.0
April,Navi Mumbai,Adani Power Ltd.,991.875
January,Navi Mumbai,Orient Green,685.0
January,Navi Mumbai,Reliance Energy,462.0
February,Navi Mumbai,Reliance Energy,340.0
January,Navi Mumbai,Indowind Energy,499.0
May,Navi Mumbai,Adani Power Ltd.,1357.5
February,Navi Mumbai,Reliance Energy,299.0
May,Navi Mumbai,Orient Green,1530.0
September,Navi Mumbai,Orient Green,997.5
September,Navi Mumbai,Adani Power Ltd.,784.5
August,Navi Mumbai,Tata Power Company Ltd.,1522.5
November,Navi Mumbai,Tata Power Company Ltd.,560.0
October,Navi Mumbai,Reliance Energy,615.0
December,Navi Mumbai,Indowind Energy,740.0
June,Navi Mumbai,Indowind Energy,1792.5
May,Navi Mumbai,Tata Power Company Ltd.,1737.5
July,Navi Mumbai,Tata Power Company Ltd.,2156.25
January,Navi Mumbai,Reliance Energy,584.0
April,Navi Mumbai,Indowind Energy,834.375
April,Navi Mumbai,Adani Power Ltd.,885.0
January,Navi Mumbai,Indowind Energy,259.0
January,Navi Mumbai,Tata Power Company Ltd.,525.0
November,Navi Mumbai,Adani Power Ltd.,569.0
May,Navi Mumbai,Indowind Energy,1057.5
May,Navi Mumbai,Adani Power Ltd.,1352.5
September,Navi Mumbai,Adani Power Ltd.,828.0
November,Navi Mumbai,Adani Power Ltd.,514.0
November,Navi Mumbai,Tata Power Company Ltd.,515.0
July,Navi Mumbai,Tata Power Company Ltd.,2452.5
March,Navi Mumbai,Adani Power Ltd.,823.75
October,Navi Mumbai,Reliance Energy,627.5
April,Navi Mumbai,Reliance Energy,778.125
August,Navi Mumbai,Adani Power Ltd.,900.0
August,Navi Mumbai,Tata Power Company Ltd.,873.75
February,Navi Mumbai,Adani Power Ltd.,582.0
January,Navi Mumbai,Tata Power Company Ltd.,560.0
August,Navi Mumbai,Tata Power Company Ltd.,1488.75
October,Navi Mumbai,Indowind Energy,537.5
October,Navi Mumbai,Reliance Energy,640.0
June,Navi Mumbai,Orient Green,2478.75
August,Navi Mumbai,Tata Power Company Ltd.,969.375
January,Navi Mumbai,Indowind Energy,683.0
April,Navi Mumbai,Adani Power Ltd.,1076.25
August,Navi Mumbai,Adani Power Ltd.,532.5
April,Navi Mumbai,Tata Power Company Ltd.,710.625
March,Navi Mumbai,Tata Power Company Ltd.,541.25
January,Navi Mumbai,Reliance Energy,480.0
March,Navi Mumbai,Indowind Energy,631.25
September,Navi Mumbai,Reliance Energy,694.5
February,Navi Mumbai,Indowind Energy,446.0
November,Navi Mumbai,Reliance Energy,591.0
April,Navi Mumbai,Tata Power Company Ltd.,688.125
December,Navi Mumbai,Adani Power Ltd.,544.0
January,Navi Mumbai,Adani Power Ltd.,721.0
August,Navi Mumbai,Tata Power Company Ltd.,691.875
April,Navi Mumbai,Tata Power Company Ltd.,905.625
January,Navi Mumbai,Tata Power Company Ltd.,765.0
January,Navi Mumbai,Orient Green,670.0
November,Navi Mumbai,Reliance Energy,487.0
July,Navi Mumbai,Reliance Energy,2422.5
May,Navi Mumbai,Reliance Energy,927.5
May,Navi Mumbai,Indowind Energy,790.0
January,Navi Mumbai,Orient Green,628.0
March,Navi Mumbai,Tata Power Company Ltd.,568.75
February,Navi Mumbai,Orient Green,420.0
November,Navi Mumbai,Tata Power Company Ltd.,552.0
September,Navi Mumbai,Orient Green,516.0
September,Navi Mumbai,Orient Green,598.5
February,Navi Mumbai,Orient Green,528.0
September,Navi Mumbai,Orient Green,810.0
July,Navi Mumbai,Adani Power Ltd.,2767.5
October,Navi Mumbai,Adani Power Ltd.,795.0
May,Navi Mumbai,Indowind Energy,1672.5
July,Navi Mumbai,Tata Power Company Ltd.,1305.0
December,Navi Mumbai,Adani Power Ltd.,342.0
October,Navi Mumbai,Tata Power Company Ltd.,571.25
September,Navi Mumbai,Indowind Energy,667.5
June,Navi Mumbai,Orient Green,1946.25
March,Navi Mumbai,Indowind Energy,715.0
June,Navi Mumbai,Indowind Energy,2107.5
July,Navi Mumbai,Reliance Energy,1976.25
June,Navi Mumbai,Tata Power Company Ltd.,1886.25
November,Navi Mumbai,Adani Power Ltd.,714.0
February,Navi Mumbai,Reliance Energy,508.0
September,Navi Mumbai,Orient Green,667.5
November,Navi Mumbai,Adani Power Ltd.,313.0
December,Navi Mumbai,Adani Power Ltd.,457.0
May,Navi Mumbai,Tata Power Company Ltd.,1352.5
May,Navi Mumbai,Orient Green,1520.0
February,Navi Mumbai,Orient Green,455.0
July,Navi Mumbai,Adani Power Ltd.,2396.25
May,Navi Mumbai,Adani Power Ltd.,1250.0
December,Navi Mumbai,Tata Power Company Ltd.,401.0
March,Navi Mumbai,Orient Green,533.75
March,Navi Mumbai,Adani Power Ltd.,933.75
September,Navi Mumbai,Reliance Energy,655.5
August,Navi Mumbai,Tata Power Company Ltd.,905.625
October,Navi Mumbai,Reliance Energy,741.25
December,Navi Mumbai,Adani Power Ltd.,652.0
December,Navi Mumbai,Adani Power Ltd.,754.0
October,Navi Mumbai,Adani Power Ltd.,1077.5
March,Navi Mumbai,Tata Power Company Ltd.,372.5
December,Navi Mumbai,Indowind Energy,714.0
September,Navi Mumbai,Reliance Energy,664.5
November,Navi Mumbai,Adani Power Ltd.,672.0
December,Navi Mumbai,Orient Green,487.0
March,Navi Mumbai,Reliance Energy,578.75
April,Navi Mumbai,Reliance Energy,1147.5
October,Navi Mumbai,Tata Power Company Ltd.,868.75
March,Navi Mumbai,Indowind Energy,691.25
May,Navi Mumbai,Orient Green,1022.5
October,Navi Mumbai,Orient Green,880.0
February,Navi Mumbai,Reliance Energy,287.0
October,Navi Mumbai,Orient Green,395.0
January,Navi Mumbai,Reliance Energy,485.0
November,Navi Mumbai,Orient Green,608.0
April,Navi Mumbai,Orient Green,1275.0
March,Navi Mumbai,Reliance Energy,745.0
March,Navi Mumbai,Indowind Energy,493.75
April,Navi Mumbai,Tata Power Company Ltd.,830.625
August,Navi Mumbai,Indowind Energy,1252.5
October,Navi Mumbai,Tata Power Company Ltd.,630.0
August,Navi Mumbai,Adani Power Ltd.,1063.125
November,Navi Mumbai,Reliance Energy,483.0
August,Navi Mumbai,Adani Power Ltd.,960.0
May,Navi Mumbai,Orient Green,1380.0
August,Navi Mumbai,Indowind Energy,1089.375
September,Navi Mumbai,Reliance Energy,543.0
February,Navi Mumbai,Indowind Energy,287.0
May,Navi Mumbai,Reliance Energy,1350.0
February,Navi Mumbai,Orient Green,357.0
March,Navi Mumbai,Tata Power Company Ltd.,336.25
May,Navi Mumbai,Indowind Energy,1620.0
March,Navi Mumbai,Reliance Energy,557.5
August,Navi Mumbai,Adani Power Ltd.,1370.625
January,Navi Mumbai,Orient Green,641.0
February,Navi Mumbai,Orient Green,371.0
September,Navi Mumbai,Indowind Energy,1036.5
September,Navi Mumbai,Adani Power Ltd.,910.5
January,Navi Mumbai,Indowind Energy,462.0
December,Navi Mumbai,Orient Green,534.0
September,Navi Mumbai,Tata Power Company Ltd.,796.5
November,Navi Mumbai,Adani Power Ltd.,492.0
May,Navi Mumbai,Reliance Energy,1320.0
September,Navi Mumbai,Orient Green,601.5
August,Navi Mumbai,Orient Green,975.0
July,Navi Mumbai,Indowind Energy,1432.5
July,Navi Mumbai,Indowind Energy,1893.75
October,Navi Mumbai,Adani Power Ltd.,582.5
February,Navi Mumbai,Tata Power Company Ltd.,528.0
June,Navi Mumbai,Orient Green,1455.0
September,Navi Mumbai,Reliance Energy,790.5
November,Navi Mumbai,Adani Power Ltd.,660.0
August,Navi Mumbai,Orient Green,1048.125
December,Navi Mumbai,Adani Power Ltd.,323.0
November,Navi Mumbai,Adani Power Ltd.,730.0
July,Navi Mumbai,Tata Power Company Ltd.,1462.5
December,Navi Mumbai,Indowind Energy,528.0
June,Navi Mumbai,Tata Power Company Ltd.,2235.0
March,Navi Mumbai,Orient Green,648.75
